city,people_served,state,url,utility_name,zip
Keene,40,NH,https://www.ewg.org/tapwater/system.php?pws=NH1992020,Hasbrouck Apartments,03467
Hinsdale,1600,NH,https://www.ewg.org/tapwater/system.php?pws=NH1151020,Hinsdale Water Dept/downtown,03467
Jaffrey,3612,NH,https://www.ewg.org/tapwater/system.php?pws=NH1221010,Jaffrey Water Works,03467
Keene,25000,NH,https://www.ewg.org/tapwater/system.php?pws=NH1241010,Keene Water Department,03467
Marlborough,100,NH,https://www.ewg.org/tapwater/system.php?pws=NH1482010,Marlborough Estates,03467
Marlborough,750,NH,https://www.ewg.org/tapwater/system.php?pws=NH1481010,Marlborough Water Works,03467
Rindge,190,NH,https://www.ewg.org/tapwater/system.php?pws=NH1993010,Monadnock Tenants,03467
N Swanzey,1250,NH,https://www.ewg.org/tapwater/system.php?pws=NH2301010,N Swanzey Water and Fire Prct,03467
Hinsdale,1800,NH,https://www.ewg.org/tapwater/system.php?pws=NH1151010,North Hinsdale Water Department,03467
Bedford,24,NH,https://www.ewg.org/tapwater/system.php?pws=NH0052010,Papermill Village,03467
Keene,40,NH,https://www.ewg.org/tapwater/system.php?pws=NH1992070,Payson Village,03467
Keene,305,NH,https://www.ewg.org/tapwater/system.php?pws=NH2303010,Pine Grove Mobile Home Park,03467
Winchester,158,NH,https://www.ewg.org/tapwater/system.php?pws=NH2533010,South Parrish,03467
Surry,50,NH,https://www.ewg.org/tapwater/system.php?pws=NH2281010,Surry Village Water,03467
Troy,1200,NH,https://www.ewg.org/tapwater/system.php?pws=NH2361010,Troy Water Works,03467
Swanzey,248,NH,https://www.ewg.org/tapwater/system.php?pws=NH2303020,View Point Co-op,03467
Walpole,975,NH,https://www.ewg.org/tapwater/system.php?pws=NH2401010,Walpole Water Department,03467
Keene,43,NH,https://www.ewg.org/tapwater/system.php?pws=NH0053010,Well Hill,03467
West Swanzey,203,NH,https://www.ewg.org/tapwater/system.php?pws=NH2301020,West Swanzey Water,03467
Winchester,2800,NH,https://www.ewg.org/tapwater/system.php?pws=NH2531010,Winchester Water Department,03467
Corte Madera,195362,CA,https://www.ewg.org/tapwater/system.php?pws=CA2110002,Marin Municipal Water District,94949
Corte Madera,195362,CA,https://www.ewg.org/tapwater/system.php?pws=CA2110002,Marin Municipal Water District,94949
Novato,61500,CA,https://www.ewg.org/tapwater/system.php?pws=CA2110003,North Marin Water District,94949
Eau Claire,66060,WI,https://www.ewg.org/tapwater/system.php?pws=WI6180230,Eau Claire Waterworks,54755
Menomonie,15950,WI,https://www.ewg.org/tapwater/system.php?pws=WI6170268,Menomonie Waterworks,54755
Altoona,7345,WI,https://www.ewg.org/tapwater/system.php?pws=WI6180280,Altoona Waterworks,54755
Arcadia,2900,WI,https://www.ewg.org/tapwater/system.php?pws=WI6620319,Arcadia Waterworks,54755
Mondovi,2667,WI,https://www.ewg.org/tapwater/system.php?pws=WI6060193,Mondovi Waterworks,54755
Durand,1968,WI,https://www.ewg.org/tapwater/system.php?pws=WI6470107,Durand Waterworks,54755
Whitehall,1820,WI,https://www.ewg.org/tapwater/system.php?pws=WI6620275,Whitehall Waterworks,54755
Osseo,1701,WI,https://www.ewg.org/tapwater/system.php?pws=WI6620328,Osseo Waterworks,54755
Trempealeau,1616,WI,https://www.ewg.org/tapwater/system.php?pws=WI6620332,Trempealeau Waterworks,54755
Galesville,1496,WI,https://www.ewg.org/tapwater/system.php?pws=WI6620271,Galesville Waterworks,54755
Blanca,471,CO,https://www.ewg.org/tapwater/system.php?pws=CO0112100,"Blanca, Town of",81152
San Luis,561,CO,https://www.ewg.org/tapwater/system.php?pws=CO0112300,Costilla County Ws,81152
Ft Garland,284,CO,https://www.ewg.org/tapwater/system.php?pws=CO0112500,Ft. Garland Water & Sanitation District,81152
San Luis,100,CO,https://www.ewg.org/tapwater/system.php?pws=CO0112700,Garcia Domestic Wua,81152
San Luis,40,CO,https://www.ewg.org/tapwater/system.php?pws=CO0112850,San Acacio Domestic Wa,81152
San Luis,629,CO,https://www.ewg.org/tapwater/system.php?pws=CO0112900,San Luis Water & Sanitation District,81152
San Luis,45,CO,https://www.ewg.org/tapwater/system.php?pws=CO0112810,Viejo San Acacio,81152
Raymond,400,WA,https://www.ewg.org/tapwater/system.php?pws=WA5304815,Bay Center,98638
Chinook,768,WA,https://www.ewg.org/tapwater/system.php?pws=WA5312800,Chinook Water District,98638
Grayland,49,WA,https://www.ewg.org/tapwater/system.php?pws=WA5319175,Dexter By The Sea,98638
Grayland,37,WA,https://www.ewg.org/tapwater/system.php?pws=WA5332114,Heather Water Works,98638
Ilwaco,1262,WA,https://www.ewg.org/tapwater/system.php?pws=WA5335500,"Ilwaco Water Department, City Of",98638
Raymond,167,WA,https://www.ewg.org/tapwater/system.php?pws=WA53AA361,Lebam,98638
Long Beach,3854,WA,https://www.ewg.org/tapwater/system.php?pws=WA5348000,Long Beach Water Department,98638
Naselle,1473,WA,https://www.ewg.org/tapwater/system.php?pws=WA5358350,Naselle,98638
Ocean Park,4010,WA,https://www.ewg.org/tapwater/system.php?pws=WA5363000,North Beach Water,98638
Oysterville,70,WA,https://www.ewg.org/tapwater/system.php?pws=WA5329240,Oysterville,98638
Raymond,2970,WA,https://www.ewg.org/tapwater/system.php?pws=WA5371500,Raymond Water Department,98638
South Bend,1630,WA,https://www.ewg.org/tapwater/system.php?pws=WA5381500,South Bend Water Department,98638
Chinook,32,WA,https://www.ewg.org/tapwater/system.php?pws=WA5352075,Sundown Water Resources,98638
Ocean Park,1405,WA,https://www.ewg.org/tapwater/system.php?pws=WA5386470,Surfside Homeowners,98638
Issaquah,30,WA,https://www.ewg.org/tapwater/system.php?pws=WA5391935,Vista Dunes,98638
Raymond,2000,WA,https://www.ewg.org/tapwater/system.php?pws=WA5397100,Willapa Valley Water District,98638
Raymond,42,WA,https://www.ewg.org/tapwater/system.php?pws=WA5304582,Wilson Point,98638
Cobden,36,MN,https://www.ewg.org/tapwater/system.php?pws=MN1080010,Cobden,56073
Comfrey,375,MN,https://www.ewg.org/tapwater/system.php?pws=MN1080001,Comfrey,56073
Courtland,611,MN,https://www.ewg.org/tapwater/system.php?pws=MN1520001,Courtland,56073
Evan,86,MN,https://www.ewg.org/tapwater/system.php?pws=MN1080009,Evan,56073
Hanska,393,MN,https://www.ewg.org/tapwater/system.php?pws=MN1080002,Hanska,56073
Klossner,54,MN,https://www.ewg.org/tapwater/system.php?pws=MN1520007,Klossner Water Association,56073
Lafayette,504,MN,https://www.ewg.org/tapwater/system.php?pws=MN1520002,Lafayette,56073
New Ulm,13522,MN,https://www.ewg.org/tapwater/system.php?pws=MN1080003,New Ulm,56073
Nicollet,1111,MN,https://www.ewg.org/tapwater/system.php?pws=MN1520004,Nicollet,56073
North Mankato,13462,MN,https://www.ewg.org/tapwater/system.php?pws=MN1520005,North Mankato,56073
St. Peter,11758,MN,https://www.ewg.org/tapwater/system.php?pws=MN1520006,Saint Peter,56073
New Ulm,90,MN,https://www.ewg.org/tapwater/system.php?pws=MN1080004,Skyview Mobile Villa,56073
Sleepy Eye,3599,MN,https://www.ewg.org/tapwater/system.php?pws=MN1080005,Sleepy Eye,56073
Springfield,2129,MN,https://www.ewg.org/tapwater/system.php?pws=MN1080008,Springfield,56073
Aldie,70,VA,https://www.ewg.org/tapwater/system.php?pws=VA6107010,Aldie Water Company,20132
Ashburn,329,VA,https://www.ewg.org/tapwater/system.php?pws=VA6107037,Beacon Hill-lcsa,20132
Ashburn,49,VA,https://www.ewg.org/tapwater/system.php?pws=VA6107070,Creighton Farms,20132
Ashburn,1061,VA,https://www.ewg.org/tapwater/system.php?pws=VA6107555,Elysian Heights,20132
Middleburg,300,VA,https://www.ewg.org/tapwater/system.php?pws=VA6107100,Foxcroft School,20132
Hamilton,2240,VA,https://www.ewg.org/tapwater/system.php?pws=VA6107150,"Hamilton, Town of",20132
Hillsboro,88,VA,https://www.ewg.org/tapwater/system.php?pws=VA6107200,"Hillsboro, Town of",20132
Leesburg,61540,VA,https://www.ewg.org/tapwater/system.php?pws=VA6107300,Leesburg,20132
Ashburn,286202,VA,https://www.ewg.org/tapwater/system.php?pws=VA6107350,Loudoun Water - Central System,20132
Lovettsville,1798,VA,https://www.ewg.org/tapwater/system.php?pws=VA6107400,"Lovettsville, Town of",20132
Mount Jackson,803,VA,https://www.ewg.org/tapwater/system.php?pws=VA6107450,"Middleburg, Town of",20132
Leesburg,225,VA,https://www.ewg.org/tapwater/system.php?pws=VA6107725,North Spring Behavioral Healthcare,20132
Mount Jackson,60,VA,https://www.ewg.org/tapwater/system.php?pws=VA6107420,One Stop Trailer Park,20132
Purcellville,8606,VA,https://www.ewg.org/tapwater/system.php?pws=VA6107600,"Purcellville, Town of",20132
Ashburn,284,VA,https://www.ewg.org/tapwater/system.php?pws=VA6107651,Reserve At Rokeby Farm,20132
Round Hill,3495,VA,https://www.ewg.org/tapwater/system.php?pws=VA6107650,"Round Hill, Town of",20132
Ashburn,1509,VA,https://www.ewg.org/tapwater/system.php?pws=VA6107660,Selma Estates,20132
Colorado Springs,418096,CO,https://www.ewg.org/tapwater/system.php?pws=CO0121150,Colorado Springs Utilities,80906
Fort Carson,42000,CO,https://www.ewg.org/tapwater/system.php?pws=CO0221445,Fort Carson Army Base,80906
Fountain,21000,CO,https://www.ewg.org/tapwater/system.php?pws=CO0121275,City of Fountain,80906
Colorado Springs,20600,CO,https://www.ewg.org/tapwater/system.php?pws=CO0121125,Cherokee MD,80906
Colorado Springs,19000,CO,https://www.ewg.org/tapwater/system.php?pws=CO0121775,Security Waster District,80906
Colorado Springs,19000,CO,https://www.ewg.org/tapwater/system.php?pws=CO0121900,Widefield WSD,80906
Usaf Academy,16876,CO,https://www.ewg.org/tapwater/system.php?pws=CO0121845,US Air Force Academy,80906
Monument,8741,CO,https://www.ewg.org/tapwater/system.php?pws=CO0121950,Woodmoor Water & Sanitation District,80906
Falcon,8474,CO,https://www.ewg.org/tapwater/system.php?pws=CO0121930,Woodmen Hills Md,80906
Colorado Springs,6600,CO,https://www.ewg.org/tapwater/system.php?pws=CO0121175,Donala Water & Sanitation District,80906
Andover,103,IA,https://www.ewg.org/tapwater/system.php?pws=IA2307001,Andover Water Supply,52037
Maquoketa,434,IA,https://www.ewg.org/tapwater/system.php?pws=IA4903050,Andrew Water Supply,52037
Maquoketa,109,IA,https://www.ewg.org/tapwater/system.php?pws=IA4907084,Baldwin Water Supply,52037
Bellevue,2191,IA,https://www.ewg.org/tapwater/system.php?pws=IA4910000,Bellevue Municipal Utilities,52037
Leclaire,41,IA,https://www.ewg.org/tapwater/system.php?pws=IA2330301,Brookhill Estates,52037
Calamus,439,IA,https://www.ewg.org/tapwater/system.php?pws=IA2320062,Calamus Water Supply,52037
Camanche,4548,IA,https://www.ewg.org/tapwater/system.php?pws=IA2322066,Camanche Water Supply,52037
Le Claire,25,IA,https://www.ewg.org/tapwater/system.php?pws=IA2330303,Cardinal Valley Estates 3rd Addition,52037
Preston,394,IA,https://www.ewg.org/tapwater/system.php?pws=IA2324016,Charlotte Water Works,52037
Dewitt,5322,IA,https://www.ewg.org/tapwater/system.php?pws=IA2330036,De Witt Water Supply,52037
Delmar,525,IA,https://www.ewg.org/tapwater/system.php?pws=IA2328024,Delmar Water Supply,52037
Goose Lake,240,IA,https://www.ewg.org/tapwater/system.php?pws=IA2339094,Goose Lake Muni Water System,52037
Grand Mound,642,IA,https://www.ewg.org/tapwater/system.php?pws=IA2341099,Grand Mound Water Supply,52037
Clinton,26885,IA,https://www.ewg.org/tapwater/system.php?pws=IA2326048,Iowa-American Water Co-Clinton District,52037
Lamotte,260,IA,https://www.ewg.org/tapwater/system.php?pws=IA4945052,La Motte Water Supply,52037
Lost Nation,454,IA,https://www.ewg.org/tapwater/system.php?pws=IA2346047,Lost Nation Water Supply,52037
Low Moor,288,IA,https://www.ewg.org/tapwater/system.php?pws=IA2348002,Low Moor Water Works,52037
Maquoketa,6141,IA,https://www.ewg.org/tapwater/system.php?pws=IA4950029,Maquoketa Municipal Water,52037
Miles,445,IA,https://www.ewg.org/tapwater/system.php?pws=IA4953078,Miles Water Department,52037
Monmouth,153,IA,https://www.ewg.org/tapwater/system.php?pws=IA4955001,Monmouth Water Supply,52037
Preston,1012,IA,https://www.ewg.org/tapwater/system.php?pws=IA4965057,Preston Muni Water Supply,52037
Bellevue,55,IA,https://www.ewg.org/tapwater/system.php?pws=IA4910301,River Point Ridge Homeowners Assoc Inc.,52037
