id,condition,input_zip,output_lat,output_lon
506,grouped,96801,42.20972471007752,-71.09767844496123
506,grouped,96802,42.20972471007752,-71.09767844496123
506,grouped,96803,42.20972471007752,-71.09767844496123
507,grouped,99130,46.09434388157894,-111.45988747105265
507,grouped,99174,46.09434388157894,-111.45988747105265
507,grouped,99104,42.20972471007752,-71.09767844496123
507,grouped,99176,46.09434388157894,-111.45988747105265
507,grouped,99128,34.98059466111111,-111.97962236111113
507,grouped,99171,46.09434388157894,-111.45988747105265
507,grouped,83824,45.91739098,-118.55983937
507,grouped,83870,45.91739098,-118.55983937
507,grouped,99158,46.09434388157894,-111.45988747105265
507,grouped,99017,46.09434388157894,-111.45988747105265
509,grouped,00647,34.98059466111111,-111.97962236111113
509,grouped,00704,34.98059466111111,-111.97962236111113
509,grouped,00785,42.20972471007752,-71.09767844496123
509,grouped,00732,42.20972471007752,-71.09767844496123
509,grouped,00733,42.20972471007752,-71.09767844496123
509,grouped,00734,42.20972471007752,-71.09767844496123
509,grouped,00653,34.98059466111111,-111.97962236111113
509,grouped,00728,35.40150644285714,-97.53377575357143
509,grouped,00622,34.98059466111111,-111.97962236111113
509,grouped,00716,35.40150644285714,-97.53377575357143
510,grouped,45409,40.85816157894737,-81.23381233508772
510,grouped,45417,40.85816157894737,-81.23381233508772
510,grouped,45345,40.85816157894737,-81.23381233508772
510,grouped,45432,40.85816157894737,-81.23381233508772
510,grouped,45408,34.98059466111111,-111.97962236111113
510,grouped,45428,40.85816157894737,-81.23381233508772
510,grouped,45410,40.85816157894737,-81.23381233508772
510,grouped,45427,34.98059466111111,-111.97962236111113
510,grouped,45463,42.20972471007752,-71.09767844496123
510,grouped,45402,40.85816157894737,-81.23381233508772
511,grouped,03870,40.85816157894737,-81.23381233508772
511,grouped,03840,40.85816157894737,-81.23381233508772
511,grouped,03802,42.20972471007752,-71.09767844496123
511,grouped,03803,42.20972471007752,-71.09767844496123
511,grouped,03804,42.20972471007752,-71.09767844496123
511,grouped,03854,40.85816157894737,-81.23381233508772
511,grouped,03801,40.85816157894737,-81.23381233508772
511,grouped,03905,45.91739098,-118.55983937
511,grouped,03904,42.51821412818182,-83.27356483545455
511,grouped,03824,32.96803109361702,-80.52219323404255
512,grouped,40472,34.98059466111111,-111.97962236111113
512,grouped,40385,33.897729505555546,-84.44988028055555
512,grouped,40376,34.98059466111111,-111.97962236111113
512,grouped,41332,30.499809642105266,-84.9313431368421
512,grouped,41360,34.98059466111111,-111.97962236111113
512,grouped,40380,34.98059466111111,-111.97962236111113
512,grouped,40312,34.98059466111111,-111.97962236111113
512,grouped,41425,30.499809642105266,-84.9313431368421
512,grouped,40515,33.897729505555546,-84.44988028055555
512,grouped,40387,30.499809642105266,-84.9313431368421
513,grouped,76043,34.98059466111111,-111.97962236111113
513,grouped,76402,34.98059466111111,-111.97962236111113
513,grouped,76070,34.98059466111111,-111.97962236111113
513,grouped,76033,40.74537158125,-111.795244734375
513,grouped,76077,34.98059466111111,-111.97962236111113
513,grouped,76401,47.16840602352941,-120.31805777941177
513,grouped,76433,40.997577840625,-77.34181325624998
513,grouped,76031,39.05641209,-94.78157734
513,grouped,76467,42.20972471007752,-71.09767844496123
513,grouped,76476,34.98059466111111,-111.97962236111113
514,grouped,18037,34.98059466111111,-111.97962236111113
514,grouped,18065,42.20972471007752,-71.09767844496123
514,grouped,18067,34.98059466111111,-111.97962236111113
514,grouped,18053,34.98059466111111,-111.97962236111113
514,grouped,18059,34.98059466111111,-111.97962236111113
514,grouped,18080,38.08236081578947,-81.64610317368421
514,grouped,18086,34.98059466111111,-111.97962236111113
514,grouped,18079,34.98059466111111,-111.97962236111113
514,grouped,18211,30.499809642105266,-84.9313431368421
514,grouped,18035,34.98059466111111,-111.97962236111113
515,grouped,32966,34.98059466111111,-111.97962236111113
515,grouped,32971,42.20972471007752,-71.09767844496123
515,grouped,32967,34.98059466111111,-111.97962236111113
515,grouped,32970,34.98059466111111,-111.97962236111113
515,grouped,33867,34.98059466111111,-111.97962236111113
515,grouped,32978,42.20972471007752,-71.09767844496123
515,grouped,32958,34.98059466111111,-111.97962236111113
515,grouped,32957,42.20972471007752,-71.09767844496123
515,grouped,32976,40.74537158125,-111.795244734375
515,grouped,32948,32.96803109361702,-80.52219323404255
516,grouped,58218,45.91739098,-118.55983937
516,grouped,58240,39.462944033333336,-97.1375166222222
516,grouped,56523,32.96803109361702,-80.52219323404255
516,grouped,58275,45.05539481111111,-85.2132865462963
516,grouped,56716,41.6515301,-80.07233788333333
