id,condition,input_zip,output_lat,output_lon
44,random,41351,42.20972471007752,-71.09767844496123
45,random,76645,47.4015982090909,-104.47874556363637
46,random,11424,34.98059466111111,-111.97962236111113
47,random,12095,34.98059466111111,-111.97962236111113
48,random,56236,41.10029389021739,-73.12163005543478
49,random,25261,34.98059466111111,-111.97962236111113
50,random,52323,42.79165846860465,-77.26981887441859
51,random,39667,46.09434388157894,-111.45988747105265
52,random,32250,30.179279005882353,-90.03086064705882
53,random,95039,41.10029389021739,-73.12163005543478
54,random,80271,42.20972471007752,-71.09767844496123
55,random,13763,42.20972471007752,-71.09767844496123
56,random,83113,34.98059466111111,-111.97962236111113
57,random,48739,34.98059466111111,-111.97962236111113
58,random,68901,43.86106409523809,-103.69915593333332
59,random,33337,42.20972471007752,-71.09767844496123
60,random,24354,45.05539481111111,-85.2132865462963
61,random,27522,41.10029389021739,-73.12163005543478
62,random,98305,33.970547511111114,-102.09225397777777
63,random,77282,42.20972471007752,-71.09767844496123
64,random,21075,42.51821412818182,-83.27356483545455
65,random,08816,33.477657515000004,-111.98440946333334
66,random,01915,41.10029389021739,-73.12163005543478
67,random,00725,33.477657515000004,-111.98440946333334
68,random,04607,47.16840602352941,-120.31805777941177
69,random,78232,35.40150644285714,-97.53377575357143
70,random,17319,34.98059466111111,-111.97962236111113
71,random,84337,34.98059466111111,-111.97962236111113
72,random,10468,33.477657515000004,-111.98440946333334
73,random,18445,34.98059466111111,-111.97962236111113
74,random,55953,32.96803109361702,-80.52219323404255
75,random,00718,35.40150644285714,-97.53377575357143
76,random,46725,40.08470863164557,-76.5903678493671
77,random,98922,34.98059466111111,-111.97962236111113
78,random,21782,34.98059466111111,-111.97962236111113
79,random,00751,34.98059466111111,-111.97962236111113
80,random,97123,47.16840602352941,-120.31805777941177
81,random,24701,38.08236081578947,-81.64610317368421
82,random,70094,39.79686479,-86.19486446111111
83,random,85252,42.20972471007752,-71.09767844496123
84,random,67207,33.897729505555546,-84.44988028055555
85,random,48072,42.51821412818182,-83.27356483545455
86,random,98675,47.4015982090909,-104.47874556363637
