brewery_id,latitude,longitude,label
brew70,40.303605700000006,-79.39290600000001,77
brew71,40.364937299999994,-75.288099,108
brew72,40.3645427,-79.77314890000001,77
brew73,40.532925,-75.4955588,43
brew74,40.342361700000005,-79.7608975,77
brew75,39.94180799999999,-77.655947,105
brew76,40.311024100000004,-75.1308993,108
brew77,39.96433820000001,-76.7285549,5
brew78,40.5161997,-75.7781007,43
brew79,40.3621779,-74.95113070000001,108
brew80,40.4788071,-79.97200939999998,77
brew81,39.7554919,-76.66194200000001,5
brew82,41.2033216,-77.1945247,118
brew83,40.810551000000004,-77.8293747,118
brew84,40.2372279,-77.01945020000002,5
brew85,40.3966544,-80.1857193,77
brew86,40.1505018,-79.53216669999998,77
brew87,41.571315399999996,-75.25494739999998,43
brew88,40.24780730000001,-75.7209306,108
brew89,40.23025620000001,-76.92032590000001,5
brew90,40.5936723,-75.4737064,43
brew91,40.37753960000001,-80.0406667,77
brew92,40.428687700000005,-79.96447090000001,77
brew93,39.7857828,-75.97846240000001,5
brew94,40.877549200000004,-75.72810059999998,43
brew95,40.4846919,-79.94796079999998,77
brew97,40.2662537,-76.7168319,5
brew98,40.263863,-75.283862,108
brew99,40.50631930000001,-79.84381479999998,77
brew100,40.392466600000006,-80.08742690000001,77
brew101,40.206031,-75.44369040000001,108
brew102,40.00866389999999,-75.2976249,108
brew103,40.0750694,-75.20551440000001,108
brew104,40.2848967,-76.65329630000002,5
brew105,40.08856970000001,-75.09264209999998,108
brew106,40.05060599999999,-76.3187932,5
brew107,39.917477000000005,-75.38826230000001,108
brew108,40.207844,-75.22356649999998,108
brew109,40.134067200000004,-75.51379419999998,108
brew110,39.9605274,-75.60548779999998,108
brew111,41.5747592,-75.25806920000001,43
brew112,40.1572293,-76.30613939999998,5
brew113,40.3191739,-79.39214199999998,77
brew114,40.8168111,-80.01226899999999,77
brew115,40.063175,-79.347212,77
brew116,39.84677670000001,-75.7116032,108
brew117,40.5923393,-77.5807691,118
brew118,41.1606302,-80.08075009999999,26
brew119,40.047621899999996,-75.44152,108
brew120,40.04389219999999,-76.2985489,5
brew121,40.174582799999996,-74.9485052,108
brew122,42.1228902,-80.08391689999998,26
brew123,39.9504513,-75.59069199999998,108
brew124,40.596072,-79.162217,77
brew127,39.966614899999996,-76.7286247,5
brew128,40.0362184,-75.5138118,108
brew129,41.6686153,-78.8149407,97
brew130,40.580895700000006,-75.34128620000001,43
brew131,39.96031,-75.15541499999998,108
brew132,41.3036722,-75.80600009999998,43
brew133,40.09404779999999,-76.34961559999999,5
brew134,40.3244181,-75.06132,108
brew137,40.0227724,-75.21919439999998,108
brew138,40.20338889999999,-77.18857249999998,5
brew139,41.0028218,-76.45666779999998,118
brew140,40.431185,-78.41354100000001,118
brew141,40.2202907,-75.27939599999998,108
brew142,39.8620321,-75.54350040000001,108
brew144,39.973324299999994,-76.67812550000001,5
brew145,42.0924749,-80.17762669999998,26
brew146,40.3641474,-80.02262040000001,77
brew147,39.800861,-76.98340999999998,5
brew148,40.8472098,-79.9880051,77
brew149,40.19817580000001,-77.1890667,5
brew150,40.1473289,-76.61162110000002,5
brew151,41.5139169,-80.4609,26
brew152,40.1484836,-75.02232420000001,108
brew153,40.2442165,-76.4770868,5
brew154,40.95925689999999,-75.32853,43
brew155,39.9630424,-76.72969789999998,5
brew156,40.147441,-75.02691639999998,108
brew157,40.085201899999994,-74.9019637,108
brew158,41.2315074,-77.0451193,118
brew159,41.61313320000001,-76.0467304,43
brew160,40.6084245,-79.1623931,77
brew161,39.9502251,-75.1665541,108
brew162,41.06375200000001,-80.0557407,26
brew163,41.3322779,-75.9543745,43
brew164,40.3166399,-75.9348247,5
brew165,40.100666100000005,-74.8518311,108
brew166,40.96259570000001,-76.6170259,118
brew167,40.022574299999995,-78.5035178,105
brew168,41.62676870000001,-79.6736505,26
brew169,40.811006899999995,-77.9122373,118
brew170,40.457172,-79.9915189,77
brew171,40.338182700000004,-75.47165849999998,108
brew172,40.0559445,-76.552419,5
brew174,40.28853549999999,-76.97143259999999,5
brew175,41.085280299999994,-75.32805379999998,43
brew176,40.245734399999996,-75.6483343,108
brew177,39.973643700000004,-75.1395908,108
brew178,40.330188299999996,-79.73070140000002,77
brew179,41.0070989,-78.44676700000001,118
brew180,40.507032,-78.38476999999999,118
brew181,40.140936700000005,-75.5480946,108
brew182,40.8593785,-79.8949334,77
brew183,40.90830820000001,-79.9255227,77
brew184,40.4424689,-75.35247439999998,108
brew185,41.2401528,-77.05341059999998,118
brew186,41.66065,-76.25788399999998,43
brew187,41.8057256,-80.0531173,26
brew188,40.446441,-79.76430119999998,77
brew189,40.784634999999994,-77.83284189999998,118
brew190,40.493518200000004,-79.94193440000001,77
brew191,40.9623999,-76.61857169999998,118
brew192,40.134451,-75.516042,108
brew193,40.328624700000006,-76.52003239999998,5
brew194,40.243552,-75.28743809999999,108
brew195,40.47725399999999,-79.95708359999998,77
brew196,39.939569899999995,-77.6562075,105
brew197,40.038987299999995,-76.13493969999998,5
brew198,40.258436100000004,-80.18757190000001,77
brew199,40.9160386,-77.05338809999998,118
brew200,40.513690000000004,-75.38956,43
brew201,39.977299,-75.14360099999998,108
brew202,40.5906801,-75.45062840000001,43
brew203,40.501194,-75.79651009999998,43
