city,moreInfoVal,moreInfoVar,name,rating,reviews,street
Burns,NA,NA,Steens Mountain Brewing Company,NA,NA,673 B W Monroe St
Lake Oswego,NA,NA,Stickmen Brewery,NA,NA,40 N State St
Sunriver,NA,NA,Sunriver Brewing,NA,NA,56840 Venture Ln
Portland,NA,NA,Super Brewing Company LLC,NA,NA,
Bend,NA,NA,The Ale Apothecary,NA,NA,30 SW Century Drive Suite 140
Sisters,NA,NA,Three Creeks Production,NA,NA,265 E. Barclay Dr.
Portland,NA,NA,Upright Brewing Co,NA,NA,240 N Broadway Ste 2
,NA,NA,Amazon Beer,NA,NA,Rua Boulevard Castilhos Franca Estacao Das Docas
Williams,NA,NA,Wizards of Williams Hops Garden and Craft Brewery,NA,NA,
Seal Rock,NA,NA,Wolf Tree Brewery,NA,NA,199 N Wolkau Rd
Mc Kees Rocks,NA,NA,412 Brews,NA,NA,706 Island Ave
Midlothian,NA,NA,"Brewery in Planning - MIDLOTHIAN, TX",NA,NA,
Sherwood,NA,NA,Two Kilts Brewing,NA,NA,14841 SW Tualatin Sherwood Rd Ste 501
Tillamook,NA,NA,Werner Brewing Company,NA,NA,2807 3rd St
Pendleton,NA,NA,Wm Roesch Brewing Company,NA,NA,250 SE 3rd St
Coraopolis,NA,NA,180 and Tapped,NA,NA,2010 A State Ave
Collegeville,NA,NA,Appalachian Brewing Co - Collegeville,NA,NA,50 W Third Ave Collegeville Station 2nd Floor
Gettysburg,NA,NA,Appalachian Brewing Co - Gettysburg Gateway,NA,NA,70 Presidential Cir
Philadelphia,NA,NA,Attic Brewing,NA,NA,
Pittsburgh,NA,NA,Bayonet Cider Company,NA,NA,
Lander,NA,NA,Bent Run Brewing Co,NA,NA,5607 SR 957
Pocono Pines,NA,NA,Black Wolf Brewing LLC,NA,NA,
Harleysville,NA,NA,Blueprint Brewing Co.,NA,NA,1571 Gehman Rd
West Chester,NA,NA,Boxcar Brewing Co LLC,NA,NA,306 Westtown Rd Ste C
Kennett Square,NA,NA,Braeloch Brewing Company,NA,NA,
Bala Cynwyd,NA,NA,Brewery in Planning - Bala Cynwyd,NA,NA,
Chambersburg,NA,NA,"Brewery in Planning - Chambersburg, PA",NA,NA,
Erie,NA,NA,Brewery in Planning - Erie,NA,NA,
GIBSONIA,NA,NA,"Brewery in Planning - GIBSONIA, PA",NA,NA,
Wilkes Barre,NA,NA,American Honor Beer Co,NA,NA,700 N Pennsylvania Ave
Pittsburgh,NA,NA,Aurochs Brewing Company,NA,NA,8321 Ohio River Blvd
Philadelphia,NA,NA,Bar Hygge / Brewery Techne,NA,NA,1720 Fairmount Ave
Ephrata,NA,NA,Black Forest Brewery,NA,NA,301 W Main St
Sayre,NA,NA,Bluestone Brewing Company,NA,NA,18 Pitney St
Mechanicsburg,NA,NA,Brewery In Planning - Marysville,NA,NA,
Philadelphia,NA,NA,Brewery in Planning - Philadelphia,NA,NA,
Wexford,NA,NA,Brewery in Planning - WEXFORD,NA,NA,
Yardley,NA,NA,Brewery in Planning - Yardley,NA,NA,
Zelienople,NA,NA,Burghâers Brewing,NA,NA,22410 Perry Hwy Ste 410E
New Kensington,NA,NA,Conny Creek Brewing Co,NA,NA,4323 Shearsburg Rd
Moscow,NA,NA,Curran Brewing Co,NA,NA,6230 Bloomington Rd
Williamsport,NA,NA,Bullfrog Brewery,NA,NA,229 W 4th St
Williamsport,NA,NA,Bullfrog Brewery - Production Only,NA,NA,229 W 4th St
Bethlehem,NA,NA,Cave Brewing Co,NA,NA,1407 Seidersville Rd
Pittsburgh,NA,NA,Church Brew Works/Lawrenceville Brewery Inc.,NA,NA,3525 Liberty Ave
Pittsburgh,NA,NA,Cinderlands Beer Co.,NA,NA,3705 Butler St
Bridgeport,NA,NA,Conshohocken Brewing - Bridgeport,NA,NA,3 DeKalb St
Pittsburgh,NA,NA,CoStar Brewing Inc.,NA,NA,919 N Saint Clair St
New Castle,NA,NA,CR Brewing Company,NA,NA,3009 Wilmington Rd
Philadelphia,NA,NA,Crime & Punishment Brewing Company,NA,NA,2711 W Girard Ave
Phoenixville,NA,NA,Crowded Castle Brewing Co. Inc.,NA,NA,242 Bridge St
York,NA,NA,Crystal Ball Brewing,NA,NA,1612 W King St
Erie,NA,NA,Daugherty Brewing Company,NA,NA,
Sunbury,NA,NA,Eclipse Craft Brewing,NA,NA,
Camp Hill,NA,NA,Ever Grain Brewing Co,NA,NA,4444 Carlisle Pike Ste C
Doylestown,NA,NA,Geronimo Brewing Inc,NA,NA,
Swarthmore,NA,NA,Gravity Ales LLC,NA,NA,
Millerstown,NA,NA,Hidden Stories Brewing Company,NA,NA,
Camp Hill,NA,NA,Highway Manor Brewing Co,NA,NA,2238 Gettysburg Rd
Vandergrift,NA,NA,Double D Brewing / Dommy's Pizza,NA,NA,1100 Hancock Ave
Doylestown,NA,NA,Doylestown Brewing Co,NA,NA,52 East State St.
Pittsburgh,NA,NA,Duquesne Brewing of Pittsburgh,NA,NA,932 W North Ave
Pittsburgh,NA,NA,Eleventh Hour Brewing Co,NA,NA,3711 Charlotte St
Lancaster,NA,NA,Fetish Brewing Co,NA,NA,325 Ice Ave
Philadelphia,NA,NA,Fishtown Brewing Co,NA,NA,1101 Frankford Ave
Ambler,NA,NA,Forest & Main Brewery and Pub,NA,NA,61 N Main St
Irwin,NA,NA,Fury Brewing Company,NA,NA,13380 US-30
Philadelphia,NA,NA,Goose Island Philadelphia,NA,NA,1002 Canal St
New Hope,NA,NA,Great Barn Brewery,NA,NA,12 W Mechanic St
Oakdale,NA,NA,Helicon Brewing,NA,NA,102 Union Ave
Conneaut Lake,NA,NA,Home Brewing Co Of Pennsylvania,NA,NA,
Hickory,NA,NA,Imperium Brewing,NA,NA,
Collegeville,NA,NA,Intercourse Brewing Co,NA,NA,4166 Ironbridge Dr
North Wales,NA,NA,Iron Hill Brewery & Restaurant - North Wales,NA,NA,1460 Bethlehem Pike
Smithton,NA,NA,Jones Brewing Co,NA,NA,254 Second Street
Philadelphia,NA,NA,Kensington Barrel Project,NA,NA,
Oakmont,NA,NA,KNURD Brewing Co,NA,NA,
Franklin,NA,NA,Garr's Beer Co.,NA,NA,
Lebanon,NA,NA,Lebanon Valley Craft Brewery,NA,NA,
Pittsburgh,NA,NA,Lincoln Avenue Brewery,NA,NA,
Duncannon,NA,NA,Lindgren Craft Brewery,NA,NA,
Duncannon,NA,NA,Loud Brewing Company,NA,NA,
Carbondale,NA,NA,Iron Hart,NA,NA,49 N Church St
Newfoundland,NA,NA,Jam Room Brewing Co,NA,NA,875 Main St
Uniontown,NA,NA,Laurel Highlands Brewing,NA,NA,21 Enamel St
Erie,NA,NA,Lavery Brewing Co,NA,NA,128 W 12th St
Howard,NA,NA,Mad-K Brewery,NA,NA,298 Mountain Top Rd
Malvern,NA,NA,McKenzie Brew House (#2),NA,NA,240 Lancaster Ave
Clarion,NA,NA,Mechanistic Brewing,NA,NA,
Williamsport,NA,NA,New Trail Brewing Company,NA,NA,240 Arch St Bldg 18
Tunkhannock,NA,NA,Nimble Hill Brewing Co,NA,NA,3971 SR 6
Slippery Rock,NA,NA,North Country Canning Co,NA,NA,111 Arrowhead Dr Ste B
Telford,NA,NA,Perkiomen Valley Brewery,NA,NA,
Bradford,NA,NA,Pig Island Brewery,NA,NA,
Plano,NA,NA,Brewery in Planning - Plano,NA,NA,
Philadelphia,NA,NA,Manayunk Brewing Co & Restaurant,NA,NA,4120 Main St
Bloomsburg,NA,NA,Marley's Brewery,NA,NA,1323 Columbia Blvd
York,NA,NA,Mexitaly Brick Oven Brewhouse,NA,NA,2440 E Market St
Erie,NA,NA,Millcreek Brewing Company,NA,NA,4102 W Lake Rd
Castle Shannon,NA,NA,Mindful Brewing Company,NA,NA,3759 Library Rd
Croydon,NA,NA,Neshaminy Creek Brewing Co,NA,NA,909 Ray Ave
Slippery Rock,NA,NA,North Country Brewing Co. LLC,NA,NA,141 S Main St
Titusville,NA,NA,Orr's Brewing Company,NA,NA,109 S Franklin St
New Brighton,NA,NA,Petrucci Brothers Brewing Co,NA,NA,911 5th Ave
Pittsburgh,NA,NA,Pittsburgh Brewing Co,NA,NA,3340 Liberty Ave
Philadelphia,NA,NA,Point Breeze Brewing,NA,NA,1225 S 28th St
Peckville,NA,NA,Ritter Brewing Company LLC,NA,NA,449 Gino Merli Dr
Wyalusing,NA,NA,River Barge Brewing,NA,NA,71 Grovedale Ln
Duquesne,NA,NA,Rogan Brewing Company,NA,NA,
Danville,NA,NA,Roundback Brewery LLC,NA,NA,
Breinigsville,NA,NA,Samuel Adams Pennsylvania Brewing Co,NA,NA,7880 Penn Dr
Bethlehem,NA,NA,Seven Sirens Brewing Company,NA,NA,
New Stanton,NA,NA,"Sobel's Obscure Brewery, LLC",NA,NA,954 Arona Rd
Houston,NA,NA,"Brewery In Planning - Somerville, MA",NA,NA,
Monroeville,NA,NA,Rivertowne Pour House,NA,NA,312 Center Rd
Homestead,NA,NA,Rock Bottom Brewery - Pittsburgh,NA,NA,171 E Bridge St
Lansdale,NA,NA,Round Guys Brewing Co,NA,NA,324 W Main St
Ephrata,NA,NA,Saint Boniface Craft Brewing Co,NA,NA,1701 W Main St
Philadelphia,NA,NA,Second District Brewing Co.,NA,NA,1939 S. Bancroft St.
Zelienople,NA,NA,"ShuBrew, LLC",NA,NA,210 S Main St
Hanover,NA,NA,Something Wicked Brewing Company,NA,NA,34 Broadway Ste 200
Schwenksville,NA,NA,Spring Mountain Brewing Company,NA,NA,
Coatesville,NA,NA,Stargazer Brewing Company,NA,NA,
Tamaqua,NA,NA,Stoker's Brewing Company,NA,NA,
Manheim,NA,NA,Swashbuckler Brewing Co,NA,NA,2775 Lebanon Rd
Ambler,NA,NA,Tannery Run Brew Works,NA,NA,
Middletown,NA,NA,The Brewery At Hershey,NA,NA,598 Schoolhouse Rd
Easton,NA,NA,"The Brewery BÃ¶ser Geist Brewing Co., LLC",NA,NA,1250 Simon Blvd Unit K100
Parkesburg,NA,NA,Victory Brewing Co,NA,NA,3127 Lower Valley Rd
Pittsburgh,NA,NA,Strange Roots Experimental Ales,NA,NA,501 E Ohio St
Catasauqua,NA,NA,Taylor House Brewing Co,NA,NA,76 Lehigh St
Mercer,NA,NA,The Barley House Brewing Company LLC,NA,NA,8399 Sharon Mercer Rd
Harrisburg,NA,NA,The Millworks Brewery,NA,NA,340 Verbeke St
Ardmore,NA,NA,Tired Hands Brewing Co,NA,NA,16 Ardmore Ave
Easton,NA,NA,Weyerbacher Brewing Co,NA,NA,905 Line St Ste G
Landenberg,NA,NA,White Clay Brewing Company,NA,NA,
Wexford,NA,NA,Young's Brewing,NA,NA,
East Greenwich,NA,NA,Brewery in Planning - east greenwich,NA,NA,
Newport,NA,NA,Newport Storm Brewery / Coastal Extreme Brewing Company,NA,NA,293 JT Connell Hwy
Providence,NA,NA,Union Station Brewery,NA,NA,36 Exchange Ter Ste 2
,NA,NA,Hunter Gatherer Brewery and Alehouse,NA,NA,
Meadville,NA,NA,Voodoo Brewing Production Facility,NA,NA,834 Bessemer St
Washington,NA,NA,Washington Brewing Co,NA,NA,28 E Maiden St
Latrobe,NA,NA,Western Pennsylvania Brewing Co,NA,NA,119 Jefferson St
Berlin,NA,NA,Whitehorse Brewing LLC,NA,NA,824 Diamond St
Philadelphia,NA,NA,Yards Brewing Co,NA,NA,901 N Delaware Ave
Pawtucket,NA,NA,Foolproof Brewing Company,NA,NA,241 Grotto Ave
Westerly,NA,NA,Grey Sail Brewing Co. LLC,NA,NA,63 Canal St
Cranston,NA,NA,Revival Brewing,NA,NA,505 Atwood Ave
West Kingston,NA,NA,"Shaidzon Beer Company, LLC",NA,NA,141 Fairgrounds Rd.
Middletown,NA,NA,Taproot Brewing Co / Newport Vineyards,NA,NA,909 E Main Rd
Lancaster,NA,NA,Benford Brewing Co.,NA,NA,2271 Boxcar Rd
North Augusta,NA,NA,Bomb Plant Brewing Company,NA,NA,
Columbia,NA,NA,Brewery In Planning - Dulles,NA,NA,
Johns Island,NA,NA,Brewery in Planning - Hollywood,NA,NA,
Indian Land,NA,NA,"Brewery in Planning - Indian Land, SC",NA,NA,
Ridgeland,NA,NA,"Brewery in Planning - Ridgeland, SC",NA,NA,
Salem,NA,NA,Brewery in Planning - salem,NA,NA,
North Charleston,NA,NA,COAST Brewing Co,NA,NA,1250 N 2nd St
Charleston,NA,NA,Fam's Brewing Company,NA,NA,1291 Folly Rd
Lexington,NA,NA,Hazelwood Brewing Company,NA,NA,
Hilton Head Island,NA,NA,Hilton Head Brewing Co,NA,NA,1 Cardinal Ct Ste 13
Hilton Head Island,NA,NA,Lincoln and South Brewing Co.,NA,NA,
North Charleston,NA,NA,Commonhouse Aleworks,NA,NA,4831 Ohear Ave
Ridgeland,NA,NA,Dead Eric Brewing Co. LLC,NA,NA,433 Old House Rd
Fort Mill,NA,NA,Full Spectrum Brewing Co,NA,NA,2180 Carolina Place Dr Ste 101
Greenwood,NA,NA,Good Times Brewing,NA,NA,237 Maxwell Ave
Myrtle Beach,NA,NA,Liberty Steakhouse and Brewery,NA,NA,1321 Celebrity Cir
Mineral,NA,NA,Cooling Pond Brewery,NA,NA,
