city,moreInfoVal,moreInfoVar,name,rating,reviews,street
Reno,NA,NA,The Brew Brothers/Eldorado Hotel and Casino,NA,NA,345 N Virginia St
Las Vegas,NA,NA,Triple 7 Restaurant & Brewery at Main St Station,NA,NA,200 N Main St Main Street Station Casino
Reno,NA,NA,Two Bald Guys Beverage Co,NA,NA,18090 Hazelnut Dr
Salem,NA,NA,Border Brewery/Border Brew Supply,NA,NA,224 N Broadway Ste D14
Portsmouth,NA,NA,"Brewery in Planning - Portsmouth, NH",NA,NA,
North Conway,NA,NA,Green Gecko Brewing Co - St. Croix USVI,NA,NA,
Derry,NA,NA,Kelsen Brewing Company,NA,NA,80 N High St Unit 3
Nashua,NA,NA,Laughinghouse Brewing,NA,NA,
Portsmouth,NA,NA,Loaded Question Brewing Co,NA,NA,909 Islington St Ste 12
Reno,NA,NA,Under the Rose Brewing Company MidTown Location,NA,NA,1041 S Virginia St
Merrimack,NA,NA,Able Ebenezer Brewing Company,NA,NA,31 Columbia Cir
Portsmouth,NA,NA,Appalachian Mountain Brewery - Portsmouth,NA,NA,1 Redhook Way
Wolfeboro,NA,NA,Burnt Timber Brewing,NA,NA,96 Lehner St
Canterbury,NA,NA,Canterbury Aleworks,NA,NA,305 Baptist Hill Rd
Henniker,NA,NA,"Henniker Brewing Company, LLC",NA,NA,129 Centervale Rd
Tilton,NA,NA,Kettlehead Brewing Company,NA,NA,407 W Main St
Astoria,NA,NA,Reach Break Brewing,NA,NA,1343 Duane St
Langdon,NA,NA,Monadnock Brewing Company LLC,NA,NA,
Londonderry,NA,NA,Moonlight Meadery/Hidden Moon Brewing,NA,NA,23 Londonderry Rd Unit 17
Northwood,NA,NA,Northwoods Brewing Co,NA,NA,
Salem,NA,NA,Outland Brewing Company,NA,NA,
Nashua,NA,NA,TaleSpinner Craft Brewery,NA,NA,
Keene,NA,NA,The Brewers of Nye Hill Farm,NA,NA,250 Middletown Rd
Newark,NA,NA,Anheuser-Busch Inc â Newark,NA,NA,200 US Highway 1
Ocean City,NA,NA,Artisan Owl Brewing Company,NA,NA,
