1_star_count,2_star_count,3_star_count,4_star_count,5_star_count,Fri,Mon,Sat,Sun,Thu,Tue,Wed,category,city,claimed_status,health_rating,moreInfoVal,moreInfoVar,name,price_range,rating,ratings,reviews,street
3,7,6,24,70,11:30 am - 12:00 am,4:00 pm - 11:00 pm,12:00 pm - 12:00 am,12:00 pm - 9:00 pm,4:00 pm - 11:00 pm,"4:00 pm - 11:00 pm
        
                Open now",4:00 pm - 11:00 pm,"American (New),Brewpubs",Titusville,Claimed,,No,Good For Happy Hour,Playalinda Brewing Company,$11-30,,4.5,110 reviews,305 S Washington Ave
3,7,6,24,70,11:30 am - 12:00 am,4:00 pm - 11:00 pm,12:00 pm - 12:00 am,12:00 pm - 9:00 pm,4:00 pm - 11:00 pm,"4:00 pm - 11:00 pm
        
                Open now",4:00 pm - 11:00 pm,"American (New),Brewpubs",Titusville,Claimed,,Yes,Outdoor Seating,Playalinda Brewing Company,$11-30,,4.5,110 reviews,305 S Washington Ave
3,7,6,24,70,11:30 am - 12:00 am,4:00 pm - 11:00 pm,12:00 pm - 12:00 am,12:00 pm - 9:00 pm,4:00 pm - 11:00 pm,"4:00 pm - 11:00 pm
        
                Open now",4:00 pm - 11:00 pm,"American (New),Brewpubs",Titusville,Claimed,,Free,Wi-Fi,Playalinda Brewing Company,$11-30,,4.5,110 reviews,305 S Washington Ave
3,7,6,24,70,11:30 am - 12:00 am,4:00 pm - 11:00 pm,12:00 pm - 12:00 am,12:00 pm - 9:00 pm,4:00 pm - 11:00 pm,"4:00 pm - 11:00 pm
        
                Open now",4:00 pm - 11:00 pm,"American (New),Brewpubs",Titusville,Claimed,,Yes,Has TV,Playalinda Brewing Company,$11-30,,4.5,110 reviews,305 S Washington Ave
3,7,6,24,70,11:30 am - 12:00 am,4:00 pm - 11:00 pm,12:00 pm - 12:00 am,12:00 pm - 9:00 pm,4:00 pm - 11:00 pm,"4:00 pm - 11:00 pm
        
                Open now",4:00 pm - 11:00 pm,"American (New),Brewpubs",Titusville,Claimed,,Yes,Dogs Allowed,Playalinda Brewing Company,$11-30,,4.5,110 reviews,305 S Washington Ave
3,7,6,24,70,11:30 am - 12:00 am,4:00 pm - 11:00 pm,12:00 pm - 12:00 am,12:00 pm - 9:00 pm,4:00 pm - 11:00 pm,"4:00 pm - 11:00 pm
        
                Open now",4:00 pm - 11:00 pm,"American (New),Brewpubs",Titusville,Claimed,,Yes,Waiter Service,Playalinda Brewing Company,$11-30,,4.5,110 reviews,305 S Washington Ave
3,7,6,24,70,11:30 am - 12:00 am,4:00 pm - 11:00 pm,12:00 pm - 12:00 am,12:00 pm - 9:00 pm,4:00 pm - 11:00 pm,"4:00 pm - 11:00 pm
        
                Open now",4:00 pm - 11:00 pm,"American (New),Brewpubs",Titusville,Claimed,,No,Caters,Playalinda Brewing Company,$11-30,,4.5,110 reviews,305 S Washington Ave
3,7,6,24,70,11:30 am - 12:00 am,4:00 pm - 11:00 pm,12:00 pm - 12:00 am,12:00 pm - 9:00 pm,4:00 pm - 11:00 pm,"4:00 pm - 11:00 pm
        
                Open now",4:00 pm - 11:00 pm,"American (New),Brewpubs",Titusville,Claimed,,Yes,Gender Neutral Restrooms,Playalinda Brewing Company,$11-30,,4.5,110 reviews,305 S Washington Ave
,,,,,,,,,,,,,Fort Myers,,,NA,NA,Point Ybel Brewing Company,,NA,,NA,16120 San Carlos Blvd Ste 4
25,23,50,123,125,11:00 am - 10:30 pm,11:00 am - 10:30 pm,11:00 am - 10:30 pm,11:00 am - 10:30 pm,11:00 am - 10:30 pm,"11:00 am - 10:30 pm
        
                Open now",11:00 am - 10:30 pm,"Sports Bars,Pubs,American (Traditional)",Fort Walton Beach,Claimed,Pass,Yes,Takes Reservations,Props Brewery and Grill,$11-30,,4.0,346 reviews,125 Lovejoy Rd
