name,city,street
Goose Island Beer Co / Fulton St,Chicago,1800 W Fulton St
Grafton Winery & Brewhaus,Grafton,300 W Main St
Granite City Food & Brewery (#19),Rockford,7144 Harrison Ave Ste 108
Granite City Food & Brewery (#21),East Peoria,230 Conference Center Dr
Great Central Brewing Company,Chicago,221 N Wood St
Greenstar Brewing At Uncommon Ground,Chicago,3810 N Clark St
Half Acre Beer Co,Chicago,4257 N Lincoln Ave
Half Day Brewing Company,Lincolnshire,200 Village Grn
Hamburger Mary's/Andersonville Brewing Company,Chicago,5402 N Clark St
Hopewell Brewing Co,Chicago,2760 N Milwaukee Ave
ILL STYLEZ BREWING,Freeport,
Lucky Pigeon Brewing,Gorham,
Iron Spike Brewing Company,Galesburg,150 E Simmons St Ste 1
Itasca Brewing Company Inc,Itasca,400 E Orchard St Ste B
Karetas Brewing,Itasca,1480 Industrial Dr Ste C
Kings & Convicts Brewing,Highwood,523 Bank Ln
Knox County Brewing Co.,Galesburg,
Lake Brothers Beer Company,Naperville,25W275 Woodstock Ct
Lake St Brewing,Oak Park,
Maverick Ales & Lager,Chicago,
Illuminated Brew Works,Chicago,415 N Sangamon St
Lake Bluff Brewing Company,Lake Bluff,16 E Scranton Ave
Lieferbrau Brewery LLC,Red Bud,118 East Market Street
Maplewood Brewing Company,Chicago,2717 N Maplewood Ave
Metropolitan Brewing,Chicago,3057 N Rockwell St
Mickey Finns Brewery,Libertyville,345 N Milwaukee Ave
Middle Brow Beer Company,Chicago,2840 W Armitage Ave
Noon Whistle Brewing Company,Lombard,800 E Roosevelt Rd Ste 3
Obscurity,Elburn,
"Seery Athlone Brewing, Inc",,
Old Town Abbey Ales,Chicago,125 S Jefferson St Unit 2709
One Allegiance Brewing,Chicago Ridge,
Peckish Pig,Evanston,623 Howard St
Peel Brewing Co.,O Fallon,104 S Cherry St
Pipeworks Brewing Co,Chicago,3912 W McLean Ave Ste B
Pizza Beer Company,Saint Charles,5N404 Harvest Ln
Radium City Brewing,Ottawa,
RAM Restaurant and Brewery - Schaumburg,Schaumburg,1901 McConnor Pkwy
Ritt Brewing Company,Chicago,
Rock Bottom Brewery - Warrenville,Warrenville,28256 Diehl Rd
Obed & Isaac's,Springfield,500 S 6th St
Obed & Isaac's Microbrewery and Eatery - Peoria,Peoria,321 NE Madison Ave
Open Outcry,Chicago,10934 S Western Ave
Piece Brewery,Chicago,1927 W North Ave
"Rabid Brewing, LLC",Homewood,17559 Bretz Dr
Revolution Brewing,Chicago,3340 N Kedzie Ave
Rock Bottom Brewery - Chicago,Chicago,1 W Grand Ave
Rock Bottom Brewery - Orland Park,Orland Park,16156 S La Grange Rd
Rock Bottom Brewery - Yorktown,Lombard,94 Yorktown Ctr
Sacred Lake Brewing,Herrin,
Sew Hop'd Brewery LLC,Huntley,
Short Fuse Brewing Company,Schiller Park,5000 River Rd
The Berghoff Brewery Inc.,Chicago,1730 W Superior St Apt 3W
Two Brothers Brewing Co,Warrenville,30W315 Calumet Ave W
Une Annee Brewery,Niles,9082 W Golf Rd
Urban Renewal Brewery,Chicago,
Veteran Beer Co / Veteran Beverage Company,Chicago,320 W Ohio St Ste 501
Vice District Tap Room,Chicago,1454 S Michigan Ave Ste 1
Von Jakob Winery,Alto Pass,230 Illinois Hwy 127
Werk Force Brewing Co,Plainfield,14903 S Center St # 107
Wild Onion Brewing Co.,Lake Barrington,22221 N Pepper Rd
Wonky Brew Factory,Aurora,
Tangled Roots Brewing Company,Ottawa,130 E Madison St
"Temperance Beer Company, LLC",Evanston,2000 Dempster St
Twisted Hippo,Chicago,2925 W Montrose Ave
Wake Brewing,Rock Island,2529 5th Ave
White Oak Brewing,Normal,1801 Industrial Park Dr
10-56 Brewing Company,Knox,400 Brown Cir
450 North Brewing Company @ Simmons Winery,Columbus,8111 E 450 N
Auburn Brewing Company,Auburn ,
Bloomington Brewing Co - Production Facility,Bloomington,2234 West Industrial Drive
Books & Brews,Indianapolis,9402 Uptown Dr Ste 1400
Brewery In Planning - Carmel IN,Carmel,
"Brewery in Planning - Elkhart, IN",Elkhart,
"Brewery in Planning - Fort Wayne, IN",Fort Wayne,
Brewery in Planning - Franklin,Franklin,
Brewery In Planning - Indianapolis,Indianapolis,
Brewery in Planning - Noblesville,Noblesville,
Byway Brewing Company,Hammond,2825 Carlson Dr
Carbon Brewing Company,Brazil,
Civilian Brewing Corps,Bloomington,
Brewery in Planning - Dublin,Dublin,
Back Alley Brewing Co,Goshen,211 S Main St
Birdboy Brewing Co,Fort Wayne,210 E Collins Rd
Centerpoint Brewing,Indianapolis,1125 E Brookside Ave
Central State Brewing,Indianapolis,4001 E 26th St
Creatures Of Habit Brewing Co,Anderson,
